Show,Sentiment,Review
Waco,1,"The series may not add anything new to the conversation, but it's a prestige-quality exploration of the echoes of a historic tragedy."
Ginny & Georgia,0,"The script's plotholes... [starts] so many stories that, in the dent, it doesn't end up providing the screen time that each one deserves. [Full review in Spanish]"
Star Wars: Visions,1,"Star Wars: Visions consists of nine stand-alone shorts, with the best providing a fascinating wedding of that far-away galaxy to imagery and themes rooted in Kurosawa's films."
Hawkeye,1,"What it lacks in plot, however, it more than makes up for in the delightful pairing of Renner and Steinfeld who boast enough charm, charisma and star-wattage power to just about keep the show on the road."
You,1,"You remains a twisted guilty pleasure that will entertain its most fervent fans, but my own obsession with it is waning unless it shows me something more."
The Queen's Gambit,1,"The Queen's Gambit is addictive, entertaining, and ultimately hugely satisfying. There aren't a lot of layers to The Queen's Gambit, and as addiction dramas go, it's barely surface deep."
Pachinko,1,"Pachinko is timeless in how it grapples with the complexities of immigration during very specific times, and the writing accurately captures the longing for—and meaning of—home."
Lovecraft Country,1,A work of radical pop exuberance from Misha Green.
Line of Duty,1,"I've griped about various bits of this show over the years - the jargon, the references to people and places we'd completely forgotten about... but it stands head and shoulders above most other dramas."
Looking for Alaska,1,"It's as if Looking for Alaska was cut loose from the anchor of Miles's narratorial voice and then swung in the direction of the strongest prevailing wind, drifting toward all the new, rich material the miniseries finds."
Chernobyl,1,What is so good about this drama ... is that it has a cast of British actors but none of them are trying to do a terrible Russian accent.
Star Trek: Voyager,1,"The series finale features a future that seeks to undo itself by righting previous wrongs, but there's so much more to be found than simply rehash."
Lisey's Story,0,Lisey's Story is a mess in almost every conceivable way.
The Alienist,1,This is a complex crime story with enough twists and turns to keep even the most experienced genre addict on their toes.
Star Wars: The Bad Batch,1,"A few less-than-stellar episodes knocks it down a bit, but it's still well worth watching, especially the final few episodes."
Chernobyl,1,A pure and majestic exercise in terror. [Full Review in Spanish]
Detroiters,1,"On top of being hilarious, the show's central duo was touchingly pure."
The Umbrella Academy,1,The Umbrella Academy continues to be as intoxicating to viewers as the Hargreeves family is to themselves.
Eureka,1,Eureka was effortlessly fun and optimistic.
Taboo,0,"Taboo is not so much a show as it is an ordeal, a slog through a miasma of squalid period clichés that's possibly even less inviting than last season's FX vanity production, The Bastard Executioner."
Brave New World,0,"Despite some evocative (and provocative) visuals and appropriate dramatic tension, it fails to truly excite."
Defending Jacob,0,The worst thing about Apple TV+'s new limited series Defending Jacob is that it feels like every other crime series we've seen before.
Normal People,1,"I think if Normal People teaches anything, it is that going through life alone will break you, and if you are lucky enough to find someone, hold on for as long and tightly as you can."
Unbelievable,1,"With Unbelievable, the creative team and superb cast treat the subject with the seriousness and grace it deserves, while also telling one hell of a story along the way."
Fleabag,1,"Laughs, whimsy, English eccentricity and far too much fun. I was gasping."
Sharp Objects,1,"Adams pulls off the psychologically precarious lead character with a full-bodied (and if you're the betting type, probably award-winning) performance."
Breaking Bad,1,This final batch of Breaking Bad is one of the best run of episodes TV has ever offered.
Harlots,1,"Harlots' second season was better than the first, and this one could make you flip your powered wig."
Mad Men,1,"Mad Men is always aware of its own bigness; it's deep, but it's also cool and crowd-pleasing."
The Last Man on Earth,1,"Ultimately, it all comes to an abrupt, unsatisfying end."
Losing Alice,1,Apple's erotic thriller is too timid to bare it all. But lush visuals and a couple of excellent performances are its saving grace.
Behind Her Eyes,1,"The last stretch is as surprising as ridiculous, but spending time with these characters is a lot of fun. [Full Review in Spanish]"
The Essex Serpent,1,Another little work of art…. in times when “more” continues to be mistaken for “better.” [Full review in Spanish]
Fargo,1,"Fargo, as in past seasons, manages to be both more dramatic, and more comic, than almost any other show on TV right now."
A Very English Scandal,1,There are few stories on TV told as well (and as brief) as this one. [Full review in Spanish]
The First Lady,1,A solid cast raises the stakes in the imagined behind-the-scenes drama series The First Lady...
Roar,1,"Whether you crave the catharsis of an abusive boyfriend being carted off by Animal Control, or the rush of solving your own murder ... ""Roar"" has enough darkly comic delights to make you shout."
The Ipcress File,1,"It's all satisfyingly old-fashioned, crammed with period atmosphere but never falling for the temptation to be over-stylised."
Arrested Development,1,"Just as whip-smart and insane as it used to be. Get ready for callbacks, incest storylines, and for Lucille...and Maeby...to steal the show."
The Ipcress File,1,"The five-episode mini-series is a mystery drama delight. File under: ""Recommended Viewing."""
Chernobyl,1,It's an anatomy of a disaster that mesmerises as it appalls.
Vikings: Valhalla,1,"If valiant death in battle is a straight shot to Valhalla, the road to an epic escape from modern confusion and catastrophe leads straight through the mayhem of “Vikings: Valhalla.”"
Stranger Things,1,"The story soon picks up into a fever pitch of peak Stranger Things, with a narrative so irresistibly compelling that it becomes a compulsory binge."
The Good Wife,0,"""End"" had moments that worked but never came together on the whole."
Queer as Folk,1,"Some viewers will find the thoughtless Brodie and his sitcom shenanigans too grating, but the series’ thoughtfulness and its sense of joy, inclusion and community make it a real winner."
Better Call Saul,1,"Better Call Saul remains a well-plotted masterpiece, similar to Breaking Bad”for which “Saul” is a prequel, complete with unexpected twists and action sequences that a viewer might expect to go right but end up going left."
A Very English Scandal,1,"Briskly paced and funny when it can be, A Very English Scandal makes a good case for the Thorpe affair as the ""trial of the century."""
Foundation,1,"Foundation could easily have become an overwhelming mess of confusing concepts and names, but it finds the right balance between visual spectacle, epic plots, and human drama."
The Essex Serpent,1,A tense and heartfelt exploration of grief and belief and how much those two things can mess with you. The great sweaters are just a bonus.
Midnight Mass,1,"Not only is it a must-see this Halloween, it's the best thing the genre has produced in years. Holy Hell what a show."
Arcane: League of Legends,1,"""Newcomers should be equally enthralled by Arcane's compelling narrative, richly developed characters and detailed world-building, all realised through a visually dazzling blend of hand-drawn and computer-generated animation."""
Severance,1,"Severance is classic slow-burn TV, lulling you with its hypnotic weirdness before piling on the twists."
Black Sails,1,"If you didn't watch Black Sails this year, you missed out on a masterpiece."
Lost,1,"Lost rewarded the devoted, providing a sense of relief for only those who really stuck by and with it."
Behind Her Eyes,0,Where others excel with the dark and twisty storylines building intrigue and frightening sequences this one is only good for mustering up a sleepy yawn.
The End of the F...ing World,1,"It's the pace that makes it sing. Of course there were some manoeuvres to pull off, to bring all of the characters back into the fray, but it has been done with as little clumsiness as possible."
Gaslit,1,"A perennially timely tale, and great TV."
The Fall,0,"As good as Anderson is throughout, her Stella suffers from a Season 3 lack of development -- we learn nothing about her in this new season that we did not know from the previous two."
Twin Peaks,1,This doesn't feel like the Twin Peaks we know and love and that's because it's not.
Big Little Lies,1,[Meryl] Streep gives Mary Louise a vicious and eerily hilarious maternal edge. She is clearly having a ball. I can't wait to see how her story line expands.
Line of Duty,1,The casting of Macdonald is another masterstroke in a series that has never been short of them -- her performance is nothing short of sublime.
Inside Amy Schumer,1,The comedian's back to basics (albeit now with a few celebrity friends) by making the same kind of sketches that made her famous and crafting a few viral hits along the way.
Marvel's Daredevil,1,"At the center of it all, there is Vincent D'Onofrio's Kingpin. Desperately missed from season two, the show once again feels at home telling the parallel stories of Matt Murdock and Wilson Fisk."
Six Feet Under,1,"Let me say right up front that somehow Alan Ball, the creator/writer found a way to push the envelope so far that we were all left speechless. And breathless."
Schmigadoon!,1,"There's a reverence for the musicals from the 1940s, '50s, and '60s, but it's through a sharpened critical and contemporary lens."
Wolf Like Me,0,The first three episodes mildly intrigued me – but not enough to want to continue.
Battlestar Galactica,1,"There was some disappointment, yes, but god damned the episode was absolutely breathtaking. On the whole, it was a relatively worthy conclusion to a groundbreaking series, albeit with a manipulative coda."
Star Wars: Visions,0,"While some episodes have good elements, overall it's just too uneven. It also doesn't feel enough like Star Wars. But kudos to Lucasfilm for trying something different."
Y: The Last Man,1,"Y: The Last Man is dystopian television for a post-Trump world. If you're looking for a series that uses the genre to hold a mirror to society as we know it, in all its imperfect glory, then you'll enjoy this character-driven narrative."
Loot,1,"The supporting cast is terrific, though my eyes were constantly on Maya Rudolph. ... Her presence and performance galvanizes the consistently funny and insightful series."
The First,0,"The show has a bland, sanitized feel, no matter how hard its cheesy score tries to heighten the inspiration at every turn. The best sci-fi stories, underneath the robots and space flights, are great human stories."
Six Feet Under,1,"Six Feet Under shows all of the unexpected surprises that come with losing a loved one, and reinforces the idea that these things are normal."
Marvel - Jessica Jones,1,"Rosenberg's series had its ups and downs, but Ritter remained a powerhouse throughout... It's a masterful performance, and while the first season of Jessica Jones remains the strongest, this run is perhaps Ritter's best."
Lincoln's Dilemma,1,"Lincoln’s Dilemma brings history to life, raising new points for discussion, and suggesting why so many people in this nation are still not united over the basic fundamental rights that all people should enjoy."
Lovecraft Country,0,"The new HBO series isn't interested in torquing the qualities of what's called Lovecraftian, nor inheriting them-and its episodes are weighted down by historical annotations and clumsy exposition."
Landscapers,1,"Landscapers is uniquely appealing, horrifying - a masterwork."
The Offer,0,"While The Offer is an intermittently entertaining fictionalization about the making of the greatest movie of all time, your time would be far better spent re-watching the greatest movie of all time and the greatest sequel ever."
Only Murders in the Building,1,"Short is just as vain, theatrical and ridiculous. Gomez is still edgy and curt (although more vulnerable). Martin is even more Steve Martin. What more could you want?"
Hacks,1,"A more self-assured show, even if its characters have never been less sure of themselves."
The Night Of,1,"The Night Of is a solid, hard-boiled story of individuals and institutions - the newest branch of a very specific family tree."
BoJack Horseman,1,"I'm hopeful that the second part of the show's final season will... further shift from BoJack's limited lens and, instead, give these women the space, time, and justice they need to heal - on their terms."
24,0,This 24 revival seems motivated by more pragmatic and mercenary considerations: trying to wring a few more nuggets out of a played-out goldmine.
The Gilded Age,1,"Celebrities, billionaires and pots of money - this is reality TV from the steam railway era."
Hawkeye,1,Clint Barton and Kate Bishop make a fine team together and one can't wait to see what happens next in Hawkeye.
The Crown,1,This high-level soap so smoothly builds each climactic moment that even a less emotionally attached viewer will find that this season is one success after another.
Vigil,1,"Once you commit, and you know you will, be prepared to see this Vigil all the way through."
The Capture,0,"The series sucks the juice out of its pop-cultural reference points, failing to mine our current nightmares on its own terms."
Star Wars Rebels,1,The best yet... The endgame was strong in this one.
Nine Perfect Strangers,0,"The new Hulu drama has everything going for it, which makes its failures even more striking."
And Just Like That...,0,"A woke pamphlet…electing to preach about how the world works.
[Full review in Spanish]"
Cheers,0,Yuk. Writers Glen Charles and Les Charles crammed more sloppy sentimental stuff into the last 15 minutes of Thursday's finale than the show exhibited in its entire 11 years.
Lost,0,"It became a show about placating, even sedating, fans, convincing them that, in the absence of anything coherent or challenging, love was enough."
WandaVision,1,It just felt delightful.
P-Valley,0,"P-Valley pivots almost exclusively toward anguish and the tension between crime and punishment, and that thematic swing... overwhelms and undermines already-established plots."
Normal People,1,The lovely and realistic 12-part series benefits from the unnuanced performances by Daisy Edgar-Jones and Paul Mescal.
We Are Lady Parts,1,"While it shares some of its DNA with other British exports, We Are Lady Parts has its own voice... and it is loud, raucous and unapologetic."
Alias,1,"Alias is back to its roots with this episode -- great storyline, fast-paced action, the Rambaldi texts coming back into play, and some great character dynamics from previous seasons are all on display."
Pieces of Her,1,"Pieces of Her is a thriller with an outstanding, can’t-take-your-eyes-away performance in the main role."
The Afterparty,1,The Afterparty is a witty satirical experiment so entertaining I'd be in favor a second season with a whole new reunion-murder.
The Staircase,1,The sheer amount of archival footage in this show is absolutely nuts.
Cowboy Bebop,1,The show's greatest asset is its ability to look cool and be smart in ways that other anime only strive for.
The First,0,"Providing all the attendant pageantry and triumphant music and inspirational speeches you might expect, before shifting back to the glummest, slowest, least enthusiastic approach possible to the material."
Moon Knight,1,"Goodnight, Moon? More like good job. After zipping through four episodes, I’m eager to see more."
Gentleman Jack,1,"Once again ending on a high note, the best portion of the whole season is the final half-hour."
Fleabag,1,"In just a handful of episodes (this only runs six), ""Fleabag"" blankets a world of emotions."
The Queen's Gambit,1,The Queen's Gambit is a remarkably intense bingewatch.
Loki,1,"[Loki] exists almost expressly as fan service, offering its elbow to safely walk us across this bridge in the franchise. It's a handsome escort, certainly. But I do wonder how long it can hold up its end of a deeper conversation."
Sharp Objects,1,"We don't see female anti-heroes like Camille on TV very often, a woman whose trauma and bad choices are written on her body in ways you will remember long after the show's final credits have rolled."
Dinosaurs,1,"Although the show was lighthearted and geared toward younger viewers, it sometimes visited heavy themes. In the memorable but very dark series finale, it touched on the themes of environmentalism and mortality."
Veep,1,"From the reckless, madcap nature of the pacing to the emptiness in all of the characters' fates, it was a fitting an end to a political satire."
Outer Range,1,This show is the best use of Josh Brolin I think Ive ever seen.
Winning Time: The Rise of the Lakers Dynasty,1,"All involved with writing, directing and performing in Winning Time contribute to a winning mix that prioritizes the lighter moments without sacrificing the serious ones."
Band of Brothers,1,Band of Brothers may be the best film ever made to show the everlasting bond forged in war between ordinary men.
Hacks,1,"Guest star Harriet Sansom Harris is warm and wonderful as the defeated comic; equally brilliant is Laurie Metcalf, all arms and lip, playing commander of the schedule and the coach."
The Good Wife,1,"She's come a long way since she wore an Alice-band and towed the line of the goody-two-shoes wife. With Eli knowing where all the dead bodies are, this series will be Machiavellian with a capital M."
The Night Of,1,"HBO's next great drama has arrived; The Night Of is a relentlessly dark and devastating look at the U.S. criminal justice system that feels eerily tailored to our consummately conflicted, painfully divided times."
Bel-Air,1,"This show sits comfortably at the intersection of nostalgia, drama and Blackness. Out of the remakes that continue to flood your streaming networks, Bel-Air is the one you should be watching."
Succession,1,"Succession has quickly ascended to the type of series that ultimately defines a network, much like Game of Thrones and The Sopranos did for HBO years ago."
Loot,1,"While certainly imperfect and the beginning not always smooth, Loot is a comedy with tremendous promise that deserves a chance to earn return viewership."
The Essex Serpent,1,"The Essex Serpent succeeds as a gothic meditation on the magic and wonder of the natural world, whether it’s seen through the lens of science or the supernatural. But it’s also a moving story about human connection."
House of Cards,0,"The final season of House of Cards is too weird and atonal to ignore completely, but it's not good enough to recommend."
Sharp Objects,1,"The atmosphere is chilling, but the plot keeps digressing, and the miniseries feels bloated. Still, the cast is first-rate."
Fargo,1,"Generally, the show's greatest successes occur whenever any given pairing is allowed to simply interact, especially its foes, such as Odis with Deafy or Oraetta and Ethelrida."
The Afterparty,1,"It's as if the show's creators put 1997′s ""Romy and Michele's High School Reunion"" in a blender with Agatha Christie and, voilà, may I interest you in ""The Afterparty""?"
Silicon Valley,1,"Still, it feels like Silicon Valley is ending with just the right amount of gas left in its tank to finish the journey it began back in 2014. It also feels like the right time to end from a cultural standpoint."
Legion,1,"The third season of ""Legion"" is one of those experiences where even after two stellar seasons you cannot believe [Noah] Hawley and his colleagues have the guts to try and pull off one unexpected moment after another."
Joe vs Carole,0,"It's never ideal to arrive way too late to the party, and Joe vs Carole feels guilty of that, adapting the story of Netflix's Tiger King, a.k.a. Joe Exotic, into a limited series that dutifully replicates those events without much bite."
Godless,1,"There's great acting to be found, and some thoughtful writing-and if you like sweeping panoramas of the sun setting across an untamed wild, then you're in excellent, if heavy, hands."
Players,1,There’s no need to choose between someone telling a good story and someone living that story in real time when the show finds illuminating ways to capitalize on both.
Justified,1,"A pitch-perfect ending to one of TV's best, often-overlooked dramas."
Tokyo Vice,1,"It is so far an intriguing mix of familiar flavors and unusual spices. How it finishes we will learn together, but so far, so very good."
Lost,1,"There are finales that betray their lead-ups, but LOST isn't one of them. Instead, it dove right into the heart of the show to get to what made LOST stand out with every other television show that tried to capture the buzzy mystery element."
Narcos,1,"[Narcos] is essentially a collection of hyperstylized historical reenactments. And yet, it is, right now, the best crime show on television."
Mare of Easttown,1,"You'll care deeply for these people and the town, and you'll be on the edge of your seat clinging to the hope that Mare can and will make a difference, setting things right for everyone."
True Detective,0,"A thin story spread over a lot of hours, but Ali is excellent and so is his support."
Sweet Tooth,1,"Featuring a beautiful central dynamic and surprisingly optimistic message, Sweet Tooth breathes new life into the often dark post-apocalyptic genre."
Chucky,1,"When the series finally kicks into gear, Chucky possesses the exuberant, mean-spirited magic of the best of the franchise."
Hawkeye,1,It remains to be seen whether or not the payoff will be as compelling as the setup.
The Gilded Age,1,"Though Gilded takes place in an interesting time and place, as well as a certain soapish appeal, it's ultimately more of a mildly diverting spectacle than the sort of emotionally involving drama that becomes an instant classic."
The Stand,1,"The standout performance is absolutely Owen Teague... whose incel/school-shooter vibes and frenzied, unrequited crush on Frannie make him immediately repellent-he's also so realistic, he's even scarier than Flagg at times."
Heartstopper,1,Director Euros Lyn has a gentle touch with Oseman’s material riding a fine line of truly understanding these characters and wanting the best in how we perceive of them.
A Very English Scandal,1,"Screenwriter Russell T. Davies delights in scabrous retorts and daft schemes, but the two main characters are captured with illuminating detail and an understanding that personalities can have contradictory extremes."
Archer,1,"It may be a little patchy at times, but Season 12 of Archer sees the spy saga justify its long run, and proves that the show is at its best when it plays to its true strength  its characters."
The Gilded Age,1,"""Gangs of New York in The Gilded Age"" (In Spanish)"
Russian Doll,1,"They managed to give all the characters something to do in this new iteration, and I like the fact that it went into new territory but kept the same logical world that exists for what they set up in Season 1."
Foundation,1,"I think Asimov himself would be pleased with Foundation, particularly since his daughter Robyn is an executive producer on the series and signed off on Goyer's vision."
Our Flag Means Death,1,"Darby is the perfect choice for the foppish aristocrat desperate to be taken seriously as a pirate, albeit one who practises “polite menace” and reads bedtime stories to his illiterate crew."
Stranger Things,1,"While the series is a wonderful, immersive thing, one can assume that these feature film-length episodes will seem interminable to anyone who isn’t a fan."
Man vs. Bee,0,There’s something dispiriting about Atkinson’s determination to play idiotic characters incapable of accomplishing routine tasks without burning down the house or ruining very valuable works of art
Pretty Little Liars,1,"We leave the show literally how it all started - a missing teenage girl, and the exact words that started that night so long ago. Let's just hope these girls don't take seven years to figure out their baggage and secrets."
Twin Peaks,0,"Yes, it's weird. Yes, it's ""Lynchian."" But there's a lot more weirdness on TV than there was in 1990."
A Very English Scandal,1,"Still it's hard to deny the overwhelming force that dominates everything about this enterprise, namely its buoyant comedy, much of it lashing wit or a softer spoofing."
WandaVision,0,"It feels empty and aimless, like the writers wanted an avenue to play with the TV eras, but didn't think hard enough about how to make WandaVision independent of the past."
The Queen's Gambit,1,"There's never really any doubt of the outcome in this glossy, moving, and fabulously enthralling fantasy, in which Beth seems able to turn her addictions on and off almost at will."
The Mosquito Coast,0,"The title, and the blueprints from other shows, seem disposable, or at least casually, even wastefully transposable. How predictably American, Allie Fox would probably think."
Stranger Things,1,"Stranger Things Season 4 Part 1 is the show at its most ambitious in every way, and that ambition works far more than it doesn’t."
Bel-Air,1,"Overall “Bel-Air” is its own, surprisingly engaging production. What it does have fully in common with its predecessor is that even as it remains entertaining, it still has much more to say."
Sex and the City,1,"Each of the four women in the show, like the show itself, has matured and improved with age. It's an enjoyable, encouraging journey to witness, especially considering that most TV shows in their sixth season are sliding downhill."
Mindhunter,1,"It doesn't appear the popularity of true crime media will subside anytime soon. As frightening and macabre as these sinister people and acts may be, it's endlessly fascinating."
Invincible,1,"These first episodes are a great primer for the series with good animation, good characters, and solid twists and turns."
Stranger Things,1,"In a remarkably plotted and well-paced fourth season, Stranger Things marks a new level of sophistication in its technical and creative visions. ... This is not just another season of a popular TV show, but a piece of mainstream art with something to say."
Gentleman Jack,1,"Visually, this is one of the most beautiful things you’ll watch all year. From the carefully crafted period costumes adorned with curls and corsets to the stunning Yorkshire scenery, which helps the show retain so much charm."
The Boys,1,"The Boys season 3 is bigger, bloodier, and more political than ever before. It is completely bonkers and filled with jaw dropping moments, shocking twists, and pure insanity. It doesn’t get much better than this."
Rise,0,"Rise is not the next Friday Night Lights, or even the next great teen drama. It's more like Friday Night Lite."
Y: The Last Man,1,"The premiere is an inspired weaving together of creeping dread and disaster movie spectacle, laced with a quirky sense of humor."
Black Mirror,0,"Brooker still has the teeth - and the imagination to craft tales that link into our techno-paranoia, showing us a world gone wrong where we are not too careful - but the bite is somewhat lacking."
Arcane: League of Legends,1,A visual delight... The result is nothing short of miraculous. [Full review in Spanish]
The Mist,1,"The cinematography here is excellent, creating a foreboding atmosphere, and the cast is, by turns, clueless, shrill, heroic, stunned and angry - King's usual recipe for horror."
Safe,0,There are few series on streaming or anywhere else that will cause as few ripples.
Fleabag,1,"Fleabag is a raw and impactful series, and in its second season, Phoebe Waller-Bridge can bring her character's voice to a natural and beautiful conclusion."
Amazing Stories,0,"It's too early to tell for sure, but the only amazing thing about ""Amazing Stories"" so far is that the new version retained and updated the original opening sequence, complete with that exciting musical theme by John Williams."
Gaslit,1,It’s a stranger-than-fiction true story that tries to find the halfway point between historical drama and absurdist dark comedy. It’s not always successful but Roberts’ all-in performance and those of her co-stars... are a delight
Slow Horses,1,“Slow Horses” is in the tradition of other recent espionage adaptations like “The Little Drummer Girl.” It packs suspense that works because it always feels dangerously real.
Star Trek: Strange New Worlds,1,"Star Trek: Strange New Worlds is perfectly fine, but that makes it seem way better when graded on the recent curve of Star Trek offerings."
Vikings: Valhalla,1,Vikings: Valhalla is a worthy sequel that accomplishes in building a larger world.
Welcome to Earth,1,[Welcome to Earth] an entertaining and educational time as we watch Smith travel to the far reaches of the world.
Peacemaker,1,"While Peacemaker may not be breaking any new molds, it thrives at playing to Gunn's strengths, now taken to the small screen."
Unbelievable,1,"Somehow, miracle of miracles, a mainstream Hollywood production has finally gotten a Christian character right."
The Vampire Diaries,1,"Either way, it's the happy ending they've always wanted. Excuse us, we'll be over in the corner, sobbing."
Invincible,1,"Invincible captures all the heart, humor, and brutality fans expect from the comics while still being open to new audiences."
Twin Peaks,1,"Mr. Lynch's mastery of tension persists. The script, by him and Mr. Frost, recognizes the power of silence and anticipation. And Mr. Lynch, who is directing the entire revival, still has his penchant for dualities and eerie beauty."
Killing It,1,"At a meta level, every episode feels like a satirical exploration of some different aspect of life in modern America."
The Umbrella Academy,1,Season three is still a lot of fun and absolutely worth your time. Just don't listen to any rumours that suggest these new episodes improve on what's come before.
Under the Dome,1,"Under the Dome is certainly broadcast television's most enjoyable science-fiction/fantasy series, a summer treat that, while sometimes silly and over-the-top, is never less than energetically imaginative and aware of the history of its genre."
Slow Horses,1,"The show around Oldman is not entirely up to the standards set by his performance, but it’s not too far off — “Slow Horses” is a highly satisfying celebration and sendup of the John le Carré novels that clearly inspired it."
WandaVision,1,"A strange escapist fantasy that is unexpectedly delightful. One moment you're thinking, what am I watching? And the next, you're hooked."
The First,0,"For a show about people looking up to the stars in wonder, its gaze is disappointingly earthbound."
Ramy,1,"The standout episode focuses solely on Uncle Naseem (Laith Nakli)... The way Youssef and his writing team force you to look at him in a new light reminds you why this is among TV's most challenging, and finest, shows."
Homeland,1,"Lesli Linka Glatter returns for the first two episodes... and, for as much credit as she rightly gets for her beautifully staged and tensely cut action sequences, the performances she evokes in a still or slightly shifting frame are incredible."
Chloe,1,"Instead of diving into the trite subject of sociopathic behavior, like Inventing Anna or Dirty John, Chloe finds depth, authenticity, and even compassion in its profile of a scammer."
The Gilded Age,1,"The journey across the Atlantic seems to have invigorated [writer-producer Julian Fellowes'] imagination -- The Gilded Age is comfortably shaping up to be his most ambitious, if not his best series since Downton."
This Way Up,1,"The supporting cast are a delight (especially Kadiff Kirwan as Aine's flatmate Bradley, and Varma as Charlotte), but it is the warmth and authenticity of Bea and Horgan's double act that makes this show such a winner."
True Detective,1,"Ultimately, Season 3 is successful in reproducing the noble yet macabre journeys that feature in 1 and 2, while evolving itself in structure and tone."
Inventing Anna,0,"While it may tell Annas story, it does so in the most basic, bare-bones manner, devoid of any real personality, fire, or even genuinely compelling characters  thanks mostly in part to the shows (sometimes painfully) lackluster scripts."
Black Mirror,0,"It's weird to feel so poorly about three arguably good episodes of television, but the short length of Season 5 only serves to highlight the deficiencies of the season as a whole."
The Beatles: Get Back,1,"Only four men knew what it was like to be a Beatle, and ""The Beatles: Get Back"" is as close as you or I will ever get to knowing how that felt."
Breaking Bad,1,"Not only did Vince Gilligan's five-season, hyper-violent prose poem to midlife male frustration tie up virtually every loose end in sight, it contained the Holy Grail of all storytelling: an Actual Moment of Truth."
Nathan for You,1,"Do yourself a favor and watch Nathan For You: A Celebration, a hilarious look back on the first three seasons."
Normal People,1,"It is the very ordinariness of Normal People, though, that makes it an unmissable small screen treasure, an achingly everyday love story in which we might find, reflected, pieces of our own."
Brave New World,0,"Brave New World is caught in a feedback loop of references, one that only occasionally resonates with a culture in the midst of challenging systems, unseen and otherwise."
Six Feet Under,0,"Now I've had it with people who insist on making themselves miserable, as if it were an art."
Squid Game,1,"Aside from being stretched just a touch too thin in spots, I'd say [Squid Game] deserves all the praise it's going to get."
Mare of Easttown,1,"As the twists and turns of the cases are revealed, it becomes a show greater than the sum of its already considerable parts"
Y: The Last Man,1,"The show feels fresh more often than not, with a number of compelling, haunting, scary, or even sometimes genuinely funny sequences to be found in each episode."
The Mysterious Benedict Society,1,Manfredi and Hay aren't afraid to create a series that both praises the intelligence of children while also admitting that being a kid is weird and confusing.
The Beatles: Get Back,1,"For any student of musical history, Get Back presents the kind of fly-on-the-wall access and insight into why the band subsequently broke up that's pretty irresistible, even if it's perhaps better consumed in smaller bites as opposed to one great gulp."
Defending Jacob,0,Underneath this tale... is pretty standard fare and about two hundred minutes too long.
The Wire,0,"Though interesting at times, the fictionalized account of The Baltimore Sun lacks the depth of the institutions depicted in seasons past."
The Act,1,"The Act works as an absorbing, well-paced drama."
The Staircase,1,"If you didn’t know it was true, you wouldn’t believe it."
Mare of Easttown,1,"The miniseries doesn't simply adopt the grammar of the classic mystery, it constructs a warped, crumbling universe around it instead."
Brave New World,0,"""Antiseptic"" doesn't begin to describe it."
Lovecraft Country,1,"Lovecraft Country does a lot of powerful work that's wonderfully informed by genre filmmaking, making for an entertaining series of episodes."
Safe,1,"I'm very much enjoying these people, without really caring about them."
Lovecraft Country,0,"There's something mechanical about Lovecraft Country's horror, both real and supernatural."
Entourage,0,Entourage completely lost sight of what it was.
Outer Range,1,"No one will accuse Outer Range of being like anything else on television, despite the fact that you will spend most of your viewing time acknowledging its clear influences: Twin Peaks, 2001: A Space Odyssey, Stranger Things, Yellowstone, Rectify, etc."
Alias Grace,1,"Having bounced around for years as a possible feature, Alias Grace proves better suited to this more expansive and leisurely adaptation."
The Afterparty,1,"Yes, this is a Rashomon-style of story that will have you laughing aloud as you try to put all the pieces of the puzzle together."
The Queen's Gambit,1,"If it doesn't win you over, ""Gambit"" will at least play you to a draw."
Catastrophe,1,Few other shows have honoured the fullness of romantic love in all its complications with the same level of radical honesty.
The First,1,Penn pours his mightiest melancholy and perfected artistry into the part.
You,1,"You might be the most self-aware show on television, perpetually nimble in addressing its own narrative shortcomings."
House of Cards,1,"In many ways, House of Cards has accidentally stumbled onto its perfect ending... Claire is the show's dark heart."
The Thing About Pam,0,It's a true-crime experiment that clearly wants to be the next Fargo and doesn't get there.
Twin Peaks,1,"Depending on your familiarity with David Lynch's body of work and your opinion of which, Twin Peaks' near-complete diversion from small town soap to full-fledged science-fiction horror will either come as a shock or natural progression."
Somebody Somewhere,1,This is television that asks big questions on the sly.
True Detective,1,"This is often a one-man show for Ali, sometimes wearing prosthetics to make him old, grey and suffering from dementia, and he is terrific in all three timelines."
Joe vs Carole,1,"It isn't shocking or sensational any more, and it isn't that funny either. Why is it worth your while going over this well-trodden ground once again, and is it even fair to the show's real-life subjects to give them this black comedy treatment?"
The Night Of,1,"Despite its lengthy gestation period, The Night Of arrives at the perfect time. In the wake of Netflix's Making A Murderer and NPR's Serial podcast, this series is the next immersive true crime experience to obsess and theorise over."
Starstruck,1,"Matafeo’s voice is completely distinctive and the show is her voice, so I look forward to future seasons of Starstruck offering an effervescent escape from the gloomy norm."
Devs,1,"The slow pace of the early episodes are almost entirely forgiven once you get to the truly arresting visuals of the latter half of the series, and how they recontextualize our world."
Big Little Lies,1,"This season obviously abandons the whodunit format and zeroes in on the emotional aftermath. The necessary change-up works well, keeps things fresh, and delivers more upper-crust theatrics from HBO's ""limited series"" that keeps on going."
Y: The Last Man,1,"""Y: The Last Man"" works in pieces and with the establishment of its first season it's easy to see where things could be stronger as it goes on."
